slot,txns,cu,cu_percentage,rewards,leader,fees_count,fees_percentage,fees_average,fees_total,fees_max
16339060,154,13486890,0.449563,,0xF2f5C73fa04406b1995e397B55c24aB1f3eA726C,154,100,2559719120.7922077,394196744602,124625748030
16339420,163,15076904,0.5025634666666666,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,163,100,2138372098.6625767,348554652082,23910379665
16339780,69,29007910,0.9669303333333333,,0xFeebabE6b0418eC13b30aAdF129F5DcDd4f70CeA,69,100,2270056444.072464,156633894641,19448583036
16340140,110,10339603,0.3446534333333333,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,110,100,3280355011.4545455,360839051260,110000000000
16340500,468,13423238,0.44744126666666667,,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,468,100,1954307113.190171,914615728973,57635680888
16340860,397,27089135,0.9029711666666667,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,397,100,2073328569.7581863,823111442194,196075460261
16341220,166,13091232,0.4363744,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,166,100,2329269762.6445785,386658780599,69902010525
16341580,137,11457104,0.3819034666666667,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,137,100,4405114629.350365,603500704221,45000000000
16341940,165,15850476,0.5283492,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,165,100,4647400028.939394,766821004775,100000000000
16342300,115,11893198,0.3964399333333333,,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,115,100,3063435612.495652,352295095437,54000000000
16342660,193,24503807,0.8167935666666667,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,193,100,5887401074.082902,1136268407298,719326553994
16343020,121,12212739,0.4070913,,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,121,100,3428028372,414791433012,170124573795
16343380,121,11533002,0.3844334,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,121,100,2444207781.3305783,295749141541,26255156317
16343740,107,12637101,0.4212367,,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,107,100,2973185189.2056074,318130815245,40539299558
16344100,112,11478264,0.3826088,,0x6d2e03b7EfFEae98BD302A9F836D0d6Ab0002766,112,100,2785794863.625,312009024726,52181271005
16344460,104,18458667,0.6152889,,0x4c992eC2D310aD988ed4b6874f6C3Ca129358cFa,104,100,3326137268.923077,345918275968,160786603244
16344820,134,18048110,0.6016036666666666,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,134,100,2684568143.141791,359732131181,25000000000
16345180,104,11164364,0.37214546666666665,,0xF2f5C73fa04406b1995e397B55c24aB1f3eA726C,104,100,2379766824.8076925,247495749780,45000000000
16345540,134,11969957,0.39899856666666667,,0xBaF6dC2E647aeb6F510f9e318856A1BCd66C5e19,134,100,1504192456.619403,201561789187,19405684084
16345900,94,19548944,0.6516314666666667,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,94,100,1696181925.712766,159441101017,19151860997
16346260,94,9923165,0.33077216666666664,,0x821Ba1A185112998607841390e17a7Ba97fA564d,94,100,1673006317.0106382,157262593799,18415657662
16346620,108,10871135,0.3623711666666667,,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,108,100,1678245463.0925925,181250510014,17623277989
16346980,119,12731620,0.42438733333333334,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,119,100,2440071058.5546217,290368455968,92293345116
16347340,121,11416389,0.3805463,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,121,100,1911093312.892562,231242290860,31288265285
16347700,130,18106170,0.603539,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,130,100,2055537243.6307693,267219841672,26037552087
