slot,txns,cu,cu_percentage,rewards,leader,fees_count,fees_percentage,fees_average,fees_total,fees_max
171000000,3634,12486066,0.260126375,9181888,6y7V8dL673XFzm9QyC5vvh3itWkp7wztahBd2yDqsyrK,56,0.015410016510732,8460,473776,21352
171008641,0,0,0,0,GbpomwGXpPBfYpiMz6KWXBa23usJM6Cf426NQGzAKV2W,,,,,
171017282,1945,70909738,1.4772862083333334,5329916,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,224,0.11516709511568,9173,2054832,153474
171025923,2203,55589582,1.1581162916666667,6460585,EswEfeDSWWLebKbExtab1tCa7Vh254imTcGGYJVxPdrA,178,0.080798910576487,15709,2796169,299600
171034564,2601,43443317,0.9050691041666666,7046502,Aw5wEMXhbygFLR7jHtHpih8QvxVBGAMTqsQ2SjWPk1ex,242,0.093041138023837,9496,2298004,94957
171043205,2270,15199633,0.31665902083333336,5791140,BUv44cVtsdvU9z2BfFGk6s5JZZWrmVnq5qCaii5ARyyB,66,0.029074889867841,8519,562279,105000
171051846,2562,66147077,1.3780641041666666,6487819,HbidP4hpQdwhkzrxder3x3VNPt6DQnE25gFG46napD2p,118,0.046057767369243,6404,755638,10000
171060487,2305,67849436,1.4135299166666666,5961997,D7a59Yada8zeBwngcP8aikfSkrGVWWDpSWuW11HZqsDC,186,0.080694143167028,7145,1328994,29000
171069128,4107,33749870,0.7031222916666666,10976255,DtY5Bzxd75iWQRvKwM2xLUxqwLT1RRoeNwmVvgS2JANA,150,0.036523009495982,14450,2167509,41939
171077769,915,70839537,1.4758236875,2558620,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,195,0.21311475409836,7781,1517240,101696
171086410,1176,19468333,0.4055902708333333,3111125,Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM,108,0.091836734693878,8169,882249,33350
171095051,0,0,0,0,XkCriyrNwS3G4rzAXtG5B1nnvb5Ka1JtCku93VqeKAr,,,,,
171103692,2351,31439185,0.6549830208333334,6104557,BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,74,0.03147596767333,11137,824114,105000
171112333,2810,64258719,1.3387233125,7233615,CZqQqmFZYoyWX1NiDNpbLFQUUiH2gmUweFtRV1vVifc8,191,0.06797153024911,7184,1372230,60015
171120974,0,0,0,0,HVXXmNKkmDZbZwj74iL2Y9Wu4SyrchBoxAfFYVAktLrG,,,,,
